INSERT INTO Players (first_name, last_name, birth_date, sex, elo_rating)
VALUES
('Robin', 'Carter', '1739-11-20', 'F', 2461),
('William', 'Stephens', '1803-12-08', 'M', 1770),
('Julie', 'Cox', '1715-11-01', 'F', 1709),
('Mark', 'Fitzpatrick', '1898-05-05', 'M', 1289),
('John', 'Hicks', '1702-08-26', 'M', 2142),
('Alexander', 'Blackburn', '2007-07-02', 'M', 2405),
('Lisa', 'Marquez', '1934-01-14', 'F', 1445),
('Justin', 'Ruiz', '1721-08-15', 'M', 1668),
('Lisa', 'Thompson', '1950-03-01', 'F', 1218),
('Benjamin', 'Lopez', '1782-01-23', 'M', 1253),
('Michael', 'Jensen', '1918-12-29', 'M', 2279),
('Grace', 'Henderson', '1984-05-25', 'F', 2059),
('Ashley', 'Sanchez', '1712-11-17', 'F', 973),
('Cheryl', 'Jones', '1881-03-14', 'F', 1978),
('Stephen', 'Palmer', '1907-09-15', 'M', 805),
('Michael', 'Perez', '1737-09-26', 'M', 2113),
('Katherine', 'Gregory', '1864-05-03', 'F', 762),
('Annette', 'Allen', '1861-11-15', 'F', 1562),
('Emily', 'Richards', '1972-06-26', 'F', 1594),
('Amanda', 'Harrington', '1707-01-02', 'F', 1795),
('George', 'Brown', '1777-07-02', 'M', 2601),
('Jill', 'Hill', '1752-06-09', 'F', 908),
('Jordan', 'Bush', '1864-04-14', 'M', 1175),
('Erin', 'Schroeder', '1862-09-05', 'F', 2419),
('Jack', 'Miller', '1845-04-23', 'M', 2271),
('Betty', 'Acosta', '1818-03-25', 'F', 1894),
('Barbara', 'Barnes', '1841-05-20', 'F', 1407),
('Nicole', 'Dudley', '1844-09-07', 'F', 779),
('Timothy', 'Reyes', '1739-01-28', 'M', 1509),
('Matthew', 'Mcdonald', '2008-04-14', 'M', 2693),
('Matthew', 'Smith', '1847-12-18', 'M', 2074),
('Robert', 'Cain', '1823-02-08', 'M', 788),
('Nicole', 'Garrett', '1950-08-05', 'F', 2103),
('Rebecca', 'Figueroa', '1893-02-14', 'F', 1954),
('Katherine', 'Gardner', '1722-07-10', 'F', 2707),
('Patricia', 'Rose', '1786-03-15', 'F', 2829),
('James', 'Monroe', '1828-10-31', 'M', 1300),
('Jodi', 'Allen', '1794-07-05', 'F', 1719),
